video_id,title,upload_date,n_windows,speech_s,parody_flag,song_flag,recitation_flag,film_flag,film_related_core,contemporary_only,matched_parody,matched_song,matched_recitation,matched_film_clip,matched_film_related_core,matched_keywords
-3BTKFtZldo,【李龍基王青霞鬧劇】有情有義李隆基，一出嚟就娶硬你,20240221,3,63.13,0,0,0,1,0,0,,,,李龍基|王青霞,,film_clip:李龍基|王青霞
-9oY4_qcCfg,【曾江金句的大智慧】獨樂樂不如眾樂樂《孟子•梁惠王下》；當我開心和過癮，也想益埋其他人,20220513,16,139.74,0,0,0,0,0,1,,,,,,
-RGj8xb9R8A,【江旻憓急流勇退】發揮生命到極致，另闢蹊徑再奔馳,20240804,4,57.76,0,0,0,0,0,1,,,,,,
-ZzrfGa0S0w,【元宵咸湿对联】洞中泉水流不尽，山间清风迎面来；抵死、过瘾、啜核,20220215,13,235.74,0,0,0,0,0,1,,,,,,
-agnQ40mEM8,【張衞健式無厘頭】一日一蘋果，爛gag一鑼鑼,20240831,3,51.33,0,0,0,0,0,1,,,,,,
-duPp9s1JzQ,【梗有一間喺左近】無數香港人嘅集體回憶；中招，梗有一單喺左近；强檢，梗有一棟喺左近；有片重溫,20220312,13,41.27,0,0,0,0,0,1,,,,,,
-uB4Z9Vdv3E,永遠懷念嘉玲(1935-21/11/2022),20221123,4,107.17,0,0,0,1,0,0,,,,嘉玲,,film_clip:嘉玲
01cBqZ4P68A,【悼念一代美男阿倫狄龍】Cool 爆眼神殺死人，世上再無真男神,20240818,3,56.03,0,0,0,0,0,1,,,,,,
0Hqy8SIu8QM,【《個個揸住個兜 》】史上最強英國國歌惡搞廣東話版,20220909,4,14.72,1,0,0,0,0,0,惡搞,,,,,parody:惡搞
0QZPlWu3n7Q,【人間有情，天地有義】鶼鰈情深，濃情輕滲,20221009,5,66.53,0,0,0,0,0,1,,,,,,
0bxiKSqEZlU,【收台播英國國歌《個個揸住個兜 》】集體回憶返晒嚟,20220909,4,21.18,0,0,0,0,0,1,,,,,,
0oa0RJE4db8,伍允龍第1部孭飛嘅《惡戰》個陣容勁到無倫,20240529,6,53.7,0,0,0,0,0,1,,,,,,
0tOUk3VfuGg,【蓮香樓結業】成也老餅，敗也老餅,20220824,17,240.13,0,0,0,0,0,1,,,,,,
0xkI0AW6xfQ,【四屆亞洲影后林黛的人生(上)】成名之路：一抵巔峰甚艱難，再抵巔峰非等閒；三抵巔峰難上難，四抵巔峰人驚嘆,20241225,20,479.03,0,0,0,1,0,0,,,,林黛,,film_clip:林黛
10G-1WZq5jc,【四屆亞洲影后林黛的人生(下)】走上絕路：身處高峰，最感虛空；面對機遇沒猶豫，面對逆境卻躊躇,20241225,19,463.39,0,0,0,1,0,0,,,,林黛,,film_clip:林黛
1Hj6ncrJr0c,【沙田穗禾苑「圍網」拆卸前後】這代表帶走了一切問題嗎？,20251208,6,15.23,0,0,0,0,0,1,,,,,,
1Mz-sKyoEy8,【一生中最愛】佛山順德順峰山公園花海前獻唱,20230216,5,24.54,0,1,0,0,0,0,,獻唱,,,,song:獻唱
1VbNiBxwg9M,【齊來跟林鄭學嘢】第五波疫情處於高峰平台期，仍然上升或正下降，暫時言之尚早。識得用咁嘅口吻，就唔使畀人成日話「唔嫁又嫁」、「反口覆舌」la！,20220313,21,175.26,0,0,0,0,0,1,,,,,,
1W1EWr_0bg8,【告別球王比利】《球王的哀與頌》,20221230,7,91.78,0,0,0,0,0,1,,,,,,
1WefYlPx6ok,【廣東話講呢啲】叫雞出處 - 原來「叫雞」唔關「雞」事！點解「干犯嫖娼」講做「衰叫雞」？,20220919,15,140.22,0,0,0,0,0,1,,,,,,
1qtodTd6UME,今時今日「想襟撈」就要聽諸葛亮講「知所乜乜」、「知所物物」,20240817,3,69.43,0,0,0,0,0,1,,,,,,
1uc4tqpk9o0,【林鳳嗲死人冇命賠】關關雎鳩非講粗口，窈窕淑女人人想溝；溝之不得講嘢甩咳，再溝不得經脈閉塞,20241204,9,120.58,0,0,0,1,1,0,,,,林鳳,林鳳,film_clip:林鳳
238-IIxY3Pw,【天國一方III】謹此向新冠疫情期間作出無私奉獻的人士致敬；重編《天各一方》；獨白感悟生死人生、歌詞洗滌心靈思緒,20220519,14,219.84,0,0,0,0,0,1,,,,,,
2VLM3MhnyEE,【諸事八卦】呢鑊，你孭鑊！This Wok; You Carry Wok！同「鑊」有咩關係？「孭鑊」鬼佬點講？,20220129,11,172.13,0,0,0,0,0,1,,,,,,
2VmuNpNnUEU,【蘇東坡給世人的「人生啟示」】寄蜉蝣於天地，渺滄海之一粟,20251012,4,51.87,0,0,0,0,0,1,,,,,,
2Y6itphxVyc,【深度懷念至愛林鳳】大江東去不復返， 似水流年莫輕嘆,20241110,9,37.47,0,0,0,1,1,0,,,,林鳳,林鳳,film_clip:林鳳
2a1fdlEvm-s,"【李小龍「再度」演繹】英文 ""Be Water"" vs 廣東話 ""如水""",20250915,4,55.49,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
2anuRVG0ZBc,【安倍晉三遇刺身亡】日本首相~左騰右騰，香港人創造的歇後語,20220708,6,100.42,0,0,0,0,0,1,,,,,,
2oJ2qkdgZTw,【百年廖孖記腐乳王】廖孖記受壓執笠，老用家自然心悒,20240720,3,62.81,0,0,0,0,0,1,,,,,,
2wdfJrsnKME,【美都餐室復業-彈出彈入】《72載美都情緣續》,20221028,7,103.94,0,0,0,0,0,1,,,,,,
389l_ackzDg,【芳芳謝賢齊共舞，應該搵多次都冇】謝賢芳芳昔愛侶，分手多年欣共聚；翩翩起舞牽回憶，人生變幻眼前惜,20250427,5,111.03,0,0,0,1,1,0,,,,謝賢,謝賢,film_clip:謝賢
3KG2fqfQMG4,【有其利必有其害】「牆梯」設計都方便咗啲賊佬同流浪貓光顧你屋企,20260719,6,35.14,0,0,0,0,0,1,,,,,,
3TNcMupTFTQ,尋找李小龍在「赤航」的日子,20251015,6,86.65,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
3aBRmQ-C51o,YS9a 《多女唔使靠偉哥》,20220116,4,48.83,0,0,0,0,0,1,,,,,,
3g0OEhAgPHw,【宇宙最強甄子丹】也有「失腳」時！,20240807,5,86.2,0,0,0,0,0,1,,,,,,
3gtSu-CaA6o,【7個銅錢分兩份】估一個廣東話歇後語（2個答案）,20251215,11,34.84,0,0,0,0,0,1,,,,,,
3kTKtsSunlg,YS1b 《粉丝经》 浓缩版,20211231,34,281.09,0,0,0,0,0,1,,,,,,
3zxz0AndPt0,【王傑式-天長地久，曾經擁有】問世間情為何物，直教生死相許；為咗愛情，竟然連條命都可以唔顧！,20251007,2,25.54,0,0,0,0,0,1,,,,,,
47F3lTVpOxc,【《似水流年1984》傳達咗一個重要信息】似水流年不復返，何須成日空嗟嘆；有返咁上下年紀，每日都係賺返嚟,20250612,7,163.19,0,0,0,0,0,1,,,,,,
